City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,waipawa,-41.4122,175.5153,291.74,76,100,4.39,NZ,1675204230
72,cayenne,4.9333,-52.3333,298.17,94,75,2.57,GF,1675204230
73,bredasdorp,-34.5322,20.0403,292.35,96,35,0.96,ZA,1675204120
74,martapura,-3.4167,114.85,297.2,100,100,3.09,ID,1675204231
75,sanchursk,56.9413,47.2499,266.77,92,73,4.77,RU,1675204231
76,halifax,44.6453,-63.5724,270.65,84,75,6.69,CA,1675203948
77,nassjo,57.6531,14.6968,273.66,79,100,5.8,SE,1675204232
78,tuatapere,-46.1333,167.6833,293.76,75,100,0.83,NZ,1675204231
79,faanui,-16.4833,-151.75,300.26,76,48,6.76,PF,1675204232
80,bethel,41.3712,-73.414,275.35,58,0,3.09,US,1675203927
81,tuktoyaktuk,69.4541,-133.0374,236.15,67,20,2.06,CA,1675204233
82,hobart,-42.8794,147.3294,292.07,55,40,4.63,AU,1675204233
83,monywa,22.1167,95.1333,294.52,58,10,1.16,MM,1675204234
84,spirit river,55.7833,-118.8361,261.39,93,100,1.68,CA,1675204234
85,dudinka,69.4058,86.1778,256.27,94,100,5.96,RU,1675204235
86,asau,46.4333,26.4,272.66,94,67,2.32,RO,1675203834
87,saskylakh,71.9167,114.0833,240.38,95,100,3.5,RU,1675204235
88,san marcos,33.1434,-117.1661,291.69,39,0,5.14,US,1675204235
89,airai,-8.9266,125.4092,291.26,88,96,0.66,TL,1675204236
90,izhmorskiy,56.194,86.6414,251.66,100,98,1.56,RU,1675204236
91,padang,-0.9492,100.3543,296.18,88,100,1.82,ID,1675204237
92,almenara,-16.1836,-40.6944,296.09,85,19,0.91,BR,1675204237
93,esperance,-33.8667,121.9,290.0,69,97,5.92,AU,1675204238
94,basco,20.4487,121.9702,296.81,70,78,8.44,PH,1675204009
95,nelson bay,-32.7167,152.15,297.59,79,88,5.36,AU,1675204121
96,poli,-3.3333,36.8,288.1,81,17,0.91,TZ,1675203662
97,mumbwa,-14.9783,27.0619,290.8,98,100,1.65,ZM,1675204239
98,klichka,50.4457,117.996,242.81,90,2,2.06,RU,1675204239
99,college,64.8569,-147.8028,266.37,84,100,2.57,US,1675203741
100,atuona,-9.8,-139.0333,299.31,74,83,9.31,PF,1675204157
101,honningsvag,70.9821,25.9704,274.01,86,100,10.8,NO,1675204240
102,matara,5.9485,80.5353,296.46,89,99,2.78,LK,1675204131
103,deniliquin,-35.5333,144.9667,294.69,44,0,4.99,AU,1675204241
104,yertsevo,60.7966,40.086,269.5,93,100,4.59,RU,1675204241
105,puerto ayora,-0.7393,-90.3518,301.13,89,81,0.45,EC,1675204241
106,lasa,46.6166,10.7002,272.61,76,56,3.26,IT,1675203713
107,dikson,73.5069,80.5464,250.44,93,94,4.03,RU,1675204242
108,kishi,9.0833,3.85,300.68,14,96,1.77,NG,1675204242
109,donskoye,45.4552,41.9741,275.22,76,79,3.04,RU,1675204243
110,ojinaga,29.5667,-104.4167,283.68,57,0,3.6,MX,1675204243
111,bose,45.4612,8.0137,278.82,56,2,1.37,IT,1675203745
112,jamestown,42.097,-79.2353,267.05,62,40,2.06,US,1675203936
113,naze,28.3667,129.4833,286.66,70,18,3.34,JP,1675204244
114,ocho rios,18.4025,-77.1048,299.71,68,18,5.58,JM,1675204157
115,muros,42.7762,-9.0603,279.73,89,10,5.78,ES,1675204122
116,kysyl-syr,63.8986,122.7617,239.51,96,100,3.34,RU,1675204189
117,severo-kurilsk,50.6789,156.125,268.23,61,84,2.6,RU,1675204245
118,morsbach,50.8667,7.75,277.82,90,88,2.68,DE,1675204246
119,beloha,-25.1667,45.05,293.6,75,6,6.28,MG,1675203753
120,tumut,-35.3,148.2167,296.28,55,0,1.51,AU,1675204246
121,victoria,22.2855,114.1577,293.12,85,94,2.68,HK,1675204105
122,rio gallegos,-51.6226,-69.2181,293.18,24,0,8.23,AR,1675204116
123,lebu,-37.6167,-73.65,288.14,78,0,9.54,CL,1675204247
124,chuy,-33.6971,-53.4616,295.88,85,17,3.62,UY,1675204248
125,vwawa,-9.1167,32.9333,287.71,92,4,1.18,TZ,1675204248
126,roma,43.2128,-75.4557,266.38,57,75,0.0,US,1675203413
127,hithadhoo,-0.6,73.0833,300.34,78,27,5.32,MV,1675204248
128,bandarbeyla,9.4942,50.8122,296.86,74,31,7.32,SO,1675203708
129,flinders,-34.5833,150.8552,296.58,71,76,0.89,AU,1675203386
130,bambous virieux,-20.3428,57.7575,299.29,89,40,2.57,MU,1675204097
131,ancud,-41.8697,-73.8203,289.99,58,0,2.36,CL,1675203655
132,tela,15.7833,-87.45,301.12,74,75,3.09,HN,1675204250
133,vila do maio,15.1333,-23.2167,294.59,75,50,8.49,CV,1675204250
134,hualmay,-11.0964,-77.6139,296.95,73,94,3.61,PE,1675204132
135,saint-philippe,-21.3585,55.7679,298.92,87,100,4.19,RE,1675204188
136,seymchan,62.8833,152.4333,242.25,100,94,0.44,RU,1675204251
137,torbay,47.6666,-52.7314,273.37,91,75,2.06,CA,1675204252
138,fortuna,40.5982,-124.1573,287.55,41,0,2.57,US,1675204252
139,kodiak,57.79,-152.4072,276.88,93,100,3.09,US,1675204182
140,alakurtti,66.9672,30.3491,256.96,99,94,1.78,RU,1675204253
141,tiznit,29.5833,-9.5,284.78,26,64,7.07,MA,1675204118
142,new norfolk,-42.7826,147.0587,291.87,62,53,1.34,AU,1675204149
143,port elizabeth,-33.918,25.5701,293.88,97,0,2.57,ZA,1675204254
144,namibe,-15.1961,12.1522,295.52,81,98,2.43,AO,1675204161
145,eenhana,-17.4667,16.3333,292.6,90,100,1.57,NA,1675204254
146,port alfred,-33.5906,26.891,293.81,93,10,6.53,ZA,1675204255
147,hasaki,35.7333,140.8333,268.37,53,27,3.1,JP,1675204255
148,monrovia,6.3005,-10.7969,298.02,84,17,2.47,LR,1675204256
149,altamira,-3.2033,-52.2064,296.79,95,82,1.59,BR,1675203988
150,shingu,33.7333,135.9833,276.04,71,3,2.86,JP,1675204190
151,shizunai,42.3339,142.3669,268.32,71,99,2.64,JP,1675203679
152,santander,43.4647,-3.8044,282.29,88,75,1.34,ES,1675204257
153,port hedland,-20.3167,118.5667,299.18,89,19,0.0,AU,1675204196
154,tigil,57.8,158.6667,258.65,93,100,2.66,RU,1675204257
155,coihaique,-45.5752,-72.0662,296.12,23,0,4.12,CL,1675203616
156,portoferraio,42.8115,10.3146,284.03,61,6,1.02,IT,1675204258
157,hohhot,40.8106,111.6522,256.31,60,0,1.0,CN,1675204258
158,kaitangata,-46.2817,169.8464,291.01,94,100,0.61,NZ,1675204259
159,westport,41.1415,-73.3579,276.66,57,0,3.6,US,1675204260
160,sao joaquim,-28.2939,-49.9317,288.52,96,73,1.06,BR,1675204260
161,longyearbyen,78.2186,15.6401,264.06,67,40,6.69,SJ,1675204261
162,coahuayana,18.7333,-103.6833,302.32,51,0,3.41,MX,1675203693
163,ullapool,57.8987,-5.1604,280.01,82,100,13.88,GB,1675204261
164,ati,13.2154,18.3353,297.93,17,4,7.21,TD,1675204262
165,san quintin,30.4833,-115.95,287.12,61,34,4.33,MX,1675203694
166,talnakh,69.4865,88.3972,256.04,96,100,4.37,RU,1675204263
167,luganville,-15.5333,167.1667,302.29,68,78,0.58,VU,1675204263
168,bonita,32.6578,-117.03,292.06,47,40,6.17,US,1675204263
169,matagami,49.7502,-77.6328,260.21,72,100,3.6,CA,1675204264
170,alamosa,37.4695,-105.87,276.14,30,0,2.06,US,1675204020
171,bata,1.8639,9.7658,298.07,100,20,1.03,GQ,1675204265
172,tomobe,36.35,140.3,268.04,44,0,1.07,JP,1675204265
173,tarbes,43.25,0.1667,279.21,81,100,1.54,FR,1675204266
174,vostok,46.4856,135.8833,252.96,95,100,1.39,RU,1675204200
175,richards bay,-28.783,32.0377,296.13,91,100,5.28,ZA,1675204266
176,qandala,11.472,49.8728,296.16,70,54,1.19,SO,1675204267
177,sao filipe,14.8961,-24.4956,294.77,71,59,5.34,CV,1675204141
178,vila velha,-20.3297,-40.2925,299.23,84,20,6.17,BR,1675204267
179,norman wells,65.282,-126.8329,247.17,76,40,4.12,CA,1675204153
180,berlevag,70.8578,29.0864,273.12,86,75,11.32,NO,1675204150
181,hami,42.8,93.45,268.94,33,97,0.15,CN,1675204269
182,leopoldina,-21.5319,-42.6431,296.81,87,37,0.96,BR,1675203990
183,naryan-mar,67.6713,53.087,268.38,93,100,7.44,RU,1675204269
184,fairbanks,64.8378,-147.7164,266.38,83,100,2.57,US,1675204056
185,luderitz,-26.6481,15.1594,289.54,95,0,4.45,NA,1675204179
186,merauke,-8.4667,140.3333,301.06,80,98,3.05,ID,1675204270
187,dingle,10.9995,122.6711,297.13,94,48,3.97,PH,1675204271
188,iracoubo,5.4802,-53.2011,297.42,87,60,2.99,GF,1675204271
189,yellowknife,62.456,-114.3525,244.44,69,75,5.66,CA,1675203980
190,mayumba,-3.432,10.6554,299.03,82,56,2.23,GA,1675203731
191,bluff,-46.6,168.3333,288.82,97,100,0.89,NZ,1675204133
192,bengkulu,-3.8004,102.2655,296.8,90,100,2.53,ID,1675204227
193,paracuru,-3.41,-39.0306,300.99,83,100,4.53,BR,1675204272
194,shetpe,44.1667,52.1167,273.25,59,93,2.44,KZ,1675204273
195,vardo,70.3705,31.1107,274.14,75,40,10.8,NO,1675204273
196,san rafael,-34.6177,-68.3301,300.94,39,77,6.99,AR,1675204263
197,log,49.4844,43.8613,269.6,83,98,3.14,RU,1675204274
198,imaculada,-7.3897,-37.5092,296.55,63,77,2.42,BR,1675204274
199,pisco,-13.7,-76.2167,298.18,73,0,7.72,PE,1675204174
200,puri,19.8,85.85,294.44,67,98,3.59,IN,1675204275
201,ostrovnoy,68.0531,39.5131,265.48,95,90,2.26,RU,1675204275
202,kamaishi,39.2667,141.8833,274.91,65,55,3.34,JP,1675204276
203,paita,-5.0892,-81.1144,298.98,69,83,6.34,PE,1675204008
204,bogorodskoye,56.55,37.8833,271.11,94,98,4.36,RU,1675204277
205,rio grande,-32.035,-52.0986,301.21,74,0,4.25,BR,1675204026
206,sitka,57.0531,-135.33,279.09,75,100,0.0,US,1675204165
